,Name,Jita_Price,Amarr_Price,Margin,Percent,ISK_Volume
41024,,,,,,
33539,,,,,,
56708,,,,,,
56709,,,,,,
56710,,,,,,
41025,,,,,,
40456,,,,,,
56713,,,,,,
56714,,,,,,
17893,,,,,,
56711,,,,,,
12302,,,,,,
41027,,,,,,
41028,,,,,,
41029,,,,,,
30497,,,,,,
41,,,,,,
53291,,,,,,
16686,,,,,,
56712,,,,,,
53299,,,,,,
3643,,,,,,
56715,,,,,,
3773,,,,,,
41023,,,,,,
2368,,,,,,
2369,,,,,,
41026,,,,,,
2371,,,,,,
11588,,,,,,
2373,,,,,,
2374,,,,,,
2375,,,,,,
2376,,,,,,
2377,,,,,,
40549,,,,,,
40548,,,,,,
56716,,,,,,
17894,,,,,,
3685,,,,,,
9826,,,,,,
15331,,,,,,
3812,,,,,,
3771,,,,,,
3814,,,,,,
3687,,,,,,
17897,,,,,,
17895,,,,,,
53476,,,,,,
15353,,,,,,
40701,,,,,,
3729,,,,,,
19398,,,,,,
3727,,,,,,
17767,,,,,,
3810,,,,,,
13267,,,,,,
17796,,,,,,
17765,,,,,,
4358,,,,,,
3719,,,,,,
3721,,,,,,
3723,,,,,,
18029,,,,,,
12110,,,,,,
12049,,,,,,
12243,,,,,,
26902,,,,,,
3806,,,,,,
17791,,,,,,
582,,,,,,
583,,,,,,
584,,,,,,
602,,,,,,
603,,,,,,
605,,,,,,
598,,,,,,
585,,,,,,
586,,,,,,
587,,,,,,
3766,,,,,,
599,,,,,,
29248,,,,,,
589,,,,,,
590,,,,,,
591,,,,,,
2161,,,,,,
597,,,,,,
630,,,,,,
629,,,,,,
622,,,,,,
631,,,,,,
624,,,,,,
625,,,,,,
52267,,,,,,
628,,,,,,
2006,,,,,,
632,,,,,,
620,,,,,,
621,,,,,,
623,,,,,,
633,,,,,,
626,,,,,,
627,,,,,,
634,,,,,,
608,,,,,,
609,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
607,,,,,,
644,,,,,,
24694,,,,,,
639,,,,,,
642,,,,,,
643,,,,,,
24692,,,,,,
640,,,,,,
24688,,,,,,
638,,,,,,
641,,,,,,
24690,,,,,,
645,,,,,,
651,,,,,,
652,,,,,,
653,,,,,,
656,,,,,,
657,,,,,,
650,,,,,,
654,,,,,,
655,,,,,,
648,,,,,,
649,,,,,,
1944,,,,,,
19744,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
255,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
223,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
192,,,,,,
193,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
32782,,,,,,
393,,,,,,
394,,,,,,
6485,,,,,,
37805,,,,,,
19329,,,,,,
15747,,,,,,
15751,,,,,,
12076,,,,,,
15755,,,,,,
19341,,,,,,
15759,,,,,,
19345,,,,,,
19347,,,,,,
12052,,,,,,
19349,,,,,,
12054,,,,,,
19351,,,,,,
15768,,,,,,
19353,,,,,,
14492,,,,,,
14494,,,,,,
19359,,,,,,
14496,,,,,,
41249,,,,,,
14114,,,,,,
41251,,,,,,
14116,,,,,,
41253,,,,,,
14118,,,,,,
41255,,,,,,
14120,,,,,,
14122,,,,,,
19335,,,,,,
14124,,,,,,
14514,,,,,,
14510,,,,,,
14512,,,,,,
434,,,,,,
19315,,,,,,
12084,,,,,,
19337,,,,,,
440,,,,,,
5945,,,,,,
19339,,,,,,
35658,,,,,,
35659,,,,,,
35660,,,,,,
14498,,,,,,
35662,,,,,,
35661,,,,,,
5971,,,,,,
5973,,,,,,
5975,,,,,,
41252,,,,,,
19343,,,,,,
19321,,,,,,
41250,,,,,,
21476,,,,,,
41254,,,,,,
21478,,,,,,
21480,,,,,,
19313,,,,,,
14508,,,,,,
19317,,,,,,
19319,,,,,,
15764,,,,,,
19323,,,,,,
19325,,,,,,
19327,,,,,,
3552,,,,,,
3554,,,,,,
41490,,,,,,
33334,,,,,,
32006,,,,,,
263,,,,,,
264,,,,,,
33330,,,,,,
31982,,,,,,
41489,,,,,,
32014,,,,,,
11283,,,,,,
33332,,,,,,
11285,,,,,,
31990,,,,,,
11287,,,,,,
11289,,,,,,
31998,,,,,,
43681,,,,,,
10246,,,,,,
41030,,,,,,
10250,,,,,,
3218,,,,,,
43694,,,,,,
1202,,,,,,
43699,,,,,,
43700,,,,,,
43701,,,,,,
683,,,,,,
684,,,,,,
685,,,,,,
949,,,,,,
950,,,,,,
952,,,,,,
945,,,,,,
946,,,,,,
689,,,,,,
